#Unchanging Team:
#    5 Star:
#        Chiori
#        Furina
#        Keqing
#        Mona
#        Sigewine
#        Yae Miko
#        Zhongli
#    4 Star:
#        Barbara
#        Beidou
#        Candace
#        Charlotte
#        Dori
#        Fischl
#        Ifa
#        Kachina
#        Kujou
#        Kuki
#        Lisa
#        Ningguang
#        Noelle
#        Ororon
#        Razor
#        Sethos
#        Xingqiu
#        Yun Jin
#==================== Navia =====================#
#_________ New Day __________#
21 World      | 06 Lovers
15 Devil      | 08 Strength
07 Chariot    | 04 Emperor
02 Priestess  | 20 Judgment
19 Sun        | 03 Empress
10 Wheel      | 03 Empress
03 Empress    | 05 Hierophant
06 Lovers     | 07 Chariot
19 Sun        | 07 Chariot
21 World      | 08 Strength
07 Chariot    | 05 Hierophant
19 Sun        | 14 Temperance
06 Lovers     | 08 Strength

#=================== Clorinde ===================#
06 Lovers     | 09 Heremit
07 Chariot    | 06 Lovers
21 World      | 02 Priestess
21 World      | 09 Heremit
15 Devil      | 11 Justice
21 World      | 16 Tower
#_________ New Day __________#
08 Strength   | 18 Moon
05 Hierophant | 17 Star
20 Judgment   | 01 Magician
06 Lovers     | 18 Moon
10 Wheel      | 02 Priestess
16 Tower      | 08 Strength
07 Chariot    | 03 Empress

#================== Neuvilette ==================#
06 Lovers     | 20 Judgment
14 Temperance | 17 Star
07 Chariot    | 08 Strength
15 Devil      | 03 Empress
14 Temperance | 02 Priestess
15 Devil      | 01 Magician
15 Devil      | 07 Chariot
14 Temperance | 08 Strength
14 Temperance | 04 Emperor
10 Wheel      | 07 Chariot
01 Magician   | 13 Death
03 Empress    | 16 Tower
21 World      | 11 Justice

#==================== Shogun ====================#
17 Star       | 08 Strength
01 Magician   | 08 Strength
09 Heremit    | 20 Judgment
19 Sun        | 06 Lovers
#_________ New Day __________#
03 Empress    | 18 Moon
04 Emperor    | 11 Justice
08 Strength   | 14 Temperance
15 Devil      | 03 Empress
17 Star       | 06 Lovers
11 Justice    | 13 Death
03 Empress    | 11 Justice
06 Lovers     | 18 Moon
01 Magician   | 22 Fool


#=================== Mualani ====================#
#_________ New Day __________#
11 Justice    | 10 Wheel
07 Chariot    | 15 Devil
07 Chariot    | 11 Justice
02 Priestess  | 04 Emperor
06 Lovers     | 16 Tower
06 Lovers     | 08 Strength
14 Temperance | 19 Sun
06 Lovers     | 14 Temperance
05 Hierophant | 14 Temperance
11 Justice    | 09 Heremit
11 Justice    | 08 Strength
19 Sun        | 05 Hierophant
19 Sun        | 03 Empress


#==================== Ineffa ====================#
#_________ New Day __________#
02 Priestess  | 17 Star
21 World      | 02 Priestess
#_________ New Day __________#
11 Justice    | 19 Sun
#_________ New Day __________#
07 Chariot    | 06 Lovers
#_________ New Day __________#
19 Sun        | 03 Empress
17 Star       | 14 Temperance
07 Chariot    | 02 Priestess
04 Emperor    | 20 Judgment
21 World      | 02 Priestess
02 Priestess  | 20 Judgment
04 Emperor    | 14 Temperance
06 Lovers     | 18 Moon
06 Lovers     | 22 Fool
07 Chariot    | 11 Justice
#_________ New Day __________#
21 World      | 19 Sun
12 Hanged     | 07 Chariot
